Witholding Tax (WHT),2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00
JHD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJP,10495.0398090545,5273.67549138808,1647.40162912577,1568.02589138613,5226.81723740382,4808.54315501286,4678.62036252117,5635.4201665239,4860.82769143885,3853.57626037145,4792.96188960165,10.8
Grove,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Engawa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LYFT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATH+Moindy+VGI,5335.16292368076,3089.7620467263,1600.55409524207,1739.43575832093,2753.91629770032,1542.80240068834,1569.95671415737,1528.43311631026,2058.672243157,852.480887972481,1922.33264232523,825.714
AME+AMV+ATV,1773.65647938942,1034.58337099303,477.038505118393,577.133590363538,448.735005976815,418.695868752268,299.555258441586,290.692789818014,133.542859087519,355.630689456441,216.393558638717,39.069
AHK+ACQ,54973.7011888122,28336.1515990034,6831.2261792242,6441.03078822334,4889.56952156349,2499.39357905894,1448.04736217768,1345.40510495706,877.494004465237,3.50584935497745,0.0,2.78775
AHS,0.216558905583637,0.094533488211867,0.0985843958628006,0.0568374691505218,0.0741396090512,0.059788975020875,0.0871634471744999,0.0825382625263125,0.037791696007,0.0,0.0,0.0
ATI,516.499304429846,406.214077091455,68.7684313692788,64.4188621353406,47.3873208960165,21.9613219193696,60.4952133287125,11.4278219437354,5.40735630699304,0.0,0.0,0.00675
DDI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATW,2115.33009867426,1280.15991072687,161.553473034472,209.699060824159,341.42888924148,103.379127557937,8.57271208448836,5.5837698417187,5.98598735325011,0.0251113539372741,0.0,3.2265
APH,513.591281174751,259.868893751561,658.865300024535,310.083477272538,54.3805259062668,18.5924394672208,11.8798382863254,11.2685462842525,6.4836082784211,1.65991124573668,4.39307561784217,0.00675
AMY,727.065468723977,616.043776952703,230.436776427472,271.737344796117,209.482996288381,192.867375420636,227.367591201844,271.182797878224,274.864592308851,0.0,0.0,0.0
ACB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMPL,0.0,0.0,0.0,0.0,0.16466335028249,0.28054473012599,0.38042566140878,0.823735870291188,1.65069277885655,0.0,0.0,0.0
AKR,15.7839157555468,34.4400921856383,16.7002814506156,2.92594535910028,1.11350865736023,4.31328473284883,3.67175421142969,0.494539500124955,0.641199572545065,0.0,0.0,0.0
ACN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[New 2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[New 3],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,76466.0470286009,40330.9937923072,11692.6432554126,11184.5475561503,13973.0701065932,9610.88888631557,8308.6343955192,9100.81492719012,8225.60802644354,5066.87870975503,6936.08116618344,881.610749999999
