Unnamed: 0,Group,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,JPY,,,JPY,,
,,2025-12-31 00:00:00,2024-12-31 00:00:00,YoY %,YTD ( Dec 25),YTD ( Dec 24),YoY %
,Revenue,6479834543,5627995487,0.151357451861439,57414370309,50713568097,0.132130363992203
,Gross Profit,2660462067,2194955348,0.212080268249721,21983923154,18756356197,0.172078570224436
,Operating Profit,833044855,374965343,1.22165826936171,2022435769,2558413656,-0.209496179690498
,,,,,,,
,JP ,,,,,,
,,JPY,,,JPY,,
,,2025-12-31 00:00:00,2024-12-31 00:00:00,YoY %,YTD ( Dec 25),YTD ( Dec 24),YoY %
,Revenue,3003528043.021948,2479872888,0.21116209526540364,24728354323.195522,20822631482,0.18757104953674086
,Gross Profit,1358919722.2579138,1082952791,0.25482821924590593,11220360367.700705,9061808769,0.23820317264749646
,Operating Profit,444307007.3525952,226859791,0.9585092862604074,1578923173.5164561,1486398769,0.06224736352459681
