Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
,12,Dec,営業利益,,,,,,,,,,,,,,11,Jan - Nov,累計営業利益,,,,,,,,,,,,
,ランキング,1,2,3,4,5,6,7,8,9,10,11,12,13,All,,ランキング,1,2,3,4,5,6,7,8,9,10,11,12,13,All
,部署,CG,PG Web,BM,BC,GROVE,ENGAWA,LYFT,PG App,DX / AI,PM,PM,D2C Creator,AnyReach,JP,,部署,PG Web,BM,CG,GROVE,BC,LYFT,DX / AI,PM,PG App,GEC,AnyReach,ENGAWA,D2C Creator,JP
,営業利益,113403.62718851867,104204.51252342787,81389.29480306414,62067.726820738026,57834.0039721008,16293.2668724233,10719.8221562471,7567.713854435926,3672.2175892758096,0,0,-986.231426178696,-11858.9470014583,444307.00735259464,,営業利益,591404.2151581519,563478.3105556539,376199.12797201343,259537.30482426728,192320.86732625752,69671.33378914348,18405.604015499877,14183.940667782037,7975.178337164689,-28101.5760142215,-56817.78187739226,-190558.75184785214,-238774.59939001076,1578923.1735164574
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,11,Jan - Nov,累計営業利益,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,ランキング,1,2,3,4,5,6,7,8,9,10,11,12,13,All
,,,,,,,,,,,,,,,,,部署,BM,PG Web,CG,GROVE,BC,LYFT,DX / AI,PM,PG App,GEC,AnyReach,ENGAWA,D2C Creator,JP
,,,,,,,,,,,,,,,,,営業利益,577662.2512234359,591404.2151581519,376199.12797201343,259537.30482426728,164219.29131203602,69671.33378914348,18405.604015499877,,7975.178337164689,,-56817.78187739226,-190558.75184785214,-238774.59939001076,1578923.1735164574
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
