Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Check,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41
,,販管費 (人件費を除く),,,,,,,,,,,6月➡7月,,6月➡7月,,Comment,,,,,5,May,,,,,,,,,,,,,,,,,,
,(千円）,,1月実績,2月実績,3月実績,4月実績,5月実績,6月実績,7月実績,7月見込み,差額,,先月差額,,先月比％,,,,,,,ランキング,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,All
,ALL,,338851.71599999984,326538.5319999999,347194.05033333326,330916.04236363625,351307.44700000004,371399.821,346914.693,486149.924,-139235.23100000003,,114750.103,,0.3089665005519753,,,,,,,部署,GROVE,LYFT,PG App,D2C Creator,PG Web,BM,ENGAWA,CG,BC,GEC,DX / AI,PR,HR,Engineer,共通系,PM,PM,PM,JP
,,BM,31778.50600000001,19149.950000000004,30349.658333333326,19322.16336363637,25387.284999999996,29026.994000000006,34008.787,28695,5313.786999999997,,-331.99400000000605,,-0.011437422696956023,,業務委託費が見込みを上回っている　+3m,,,,,その他販管費,74868.251,57834.892,44221.8428311121,41341.115999999995,27886.578168887892,25387.284999999996,16509.275,15987.060000000001,14003.881999999998,13307.995000000003,8765.322000000002,133.836,70,48.281,0.225,0,0,0,340365.84099999996
,,PM,319.5540000000001,-77.06800000000021,33.41699999999946,605.6210000000001,0,0,0,0,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BC,11734.358,7222.8060000000005,14157.332000000002,11478.066,14003.881999999998,11552.720000000001,46235.839,27600.365,18635.474,,16047.645,,1.389079368321919,,"①プラットフォーム手数料が見込みを上回っている　+10m
②覆面調査費用　+4m
③広告宣伝費　+5m",,,,,,,,,,,,,,,,,,,,,,,,
,,PG Web,20872.513269011706,18707.48156553957,23844.389364120452,25703.746806951858,27886.578168887892,23818.574607797247,24904.267080782272,26439.747,-1535.479919217727,,2621.1723922027522,,0.11004740776321209,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PG App,63155.916730988305,54882.02643446044,52335.52663587955,40373.29719304815,44221.8428311121,41601.12439220275,46335.43791921773,40988.453,5346.984919217728,,-612.6713922027484,,-0.014727279638566237,,自社ゲームの広告出稿媒体　+4m,,,,,,,,,,,,,,,,,,,,,,,,
,,CG,7172.8369999999995,11004.462,7537.526000000001,6165.723999999999,15987.060000000001,5922.517999999999,6087.836,5803.478,284.3580000000002,,-119.03999999999905,,-0.020099559005139156,,,,,,,,,,,,,,,,,,,,,,,,,,
,,D2C Creator,45139.903000000006,50957.982,64525.84000000001,49296.409999999996,41341.115999999995,68243.25399999999,33409.284999999996,35453,-2043.7150000000038,,-32790.253999999986,,-0.48049077495630543,,,,,,,,,,,,,,,,,,,,,,,,,,
,,GEC,10944.501999999997,11067.329000000002,14379.641,11679.580999999996,13307.995000000003,19866.833000000002,0,0,0,,-19866.833000000002,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DX / AI,26141.518,20650.814,12057.992,13977.939999999999,8765.322000000002,11283.779000000002,9675.625,11899.5,-2223.875,,615.7209999999977,,0.054566914151721546,,,,,,,,,,,,,,,,,,,,,,,,,,
,,GROVE,40201.1179999999,67522.821,59374.761,66093.945,74868.251,60922.409,59612.49,61234.244,-1621.7540000000008,,311.8349999999991,,0.005118559904615738,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ENGAWA,21530.0219999999,14942.1009999999,13307.364,12812.508,16509.275,19958.162,16044.47,16277.523,-233.05299999999988,,-3680.639000000001,,-0.18441773345661794,,,,,,,,,,,,,,,,,,,,,,,,,,
,,LYFT,59432.182,50020.035,54799.9599999999,57182.958,57834.892,69557.969,57159.154,70430.228,-13271.074,,872.2590000000055,,0.01254002974123658,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Engineer,0,0,0,82.525,48.281,0,0,3700,-3700,,3700,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Finance,0,0,0,0,0,0,0,5000,-5000,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HR,0,70,70,70,70,70,70,15000,-14930,,14930,,213.28571428571428,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Legal,0,0,0,0,0,0,0,1200,-1200,,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PR,428.786,417.792,420.643,126.991,133.836,-3696.768,103.444,500,-396.556,,4196.768,,-1.1352532807035767,,,,,,,,,,,,,,,,,,,,,,,,,,
,,共通系,0,0,0,0,0.225,0,0.4,121643.663,-121643.263,,121643.663,,,,"①インターネットライセンスの更新費用　+2m
②internal audit人材採用費用　+2m",,,,,,,,,,,,,,,,,,,,,,,,
,,AnyReach,0,0,0,15944.5659999999,10941.606,13272.252,13267.658,14284.723,-1017.0650000000005,,1012.4709999999995,,0.07628479326643278,,,,,,,,,,,,,,,,,,,,,,,,,,
